experiment_id	timestamp	program	description	result	coverage_before	coverage_after	notes
114	2026-05-07T02:57:09.8406911+05:30	with-cache non-JSON response body fallback branch	KEEP	89.28	76.26	92.69	91.08
115	2026-05-07T02:58:35.0521693+05:30	scope-filter same-enterprise multiple composite teams grouping	KEEP	89.32	76.31	92.69	91.08
117	2026-05-07 03:01	aggregation-queries: getAdoptionStats with enterpriseSlugs (no delta)	revert	89.41	76.42	92.90	91.15
118	2026-05-07 03:03	dashboard-config: deepMerge non-object metrics key branch	keep	89.41	76.47	92.90	91.15
119	2026-05-07 03:05	enterprise-config: getEnterpriseAuth empty app env branch	keep	89.41	76.53	92.90	91.15
120	2026-05-07 03:07	ghas-repo: recomputeSecretScanningDaily empty scope early return	keep	89.45	76.58	92.90	91.15
121	2026-05-07 03:08	metrics-repo: getAllOrgMetrics null numeric field ?? 0 branches	keep	89.45	77.23	92.90	91.15
122	2026-05-07 03:10	metrics-repo: getFilteredOrgMetrics null numeric field ?? 0 branches	keep	89.48	77.94	92.90	91.15
123	2026-05-07 03:11	metrics-repo: weightedMedian zero-weight average branch	keep	89.55	78.10	92.90	91.22
124	2026-05-07 03:12	metrics-repo: weightedMedian a==null and both-null branches	keep	89.61	78.31	92.90	91.22
125	2026-05-07 03:14	metrics-repo: totals_by_cli and agent_edit upsert/retrieve paths	keep	89.61	78.69	92.90	91.22
126	2026-05-07 03:15	metrics-repo: enterprise totals_by_cli and pull_requests paths	keep	89.61	78.86	92.90	91.22
127	2026-05-07 03:16	metrics-repo: org totals_by_cli upsert/retrieve path	keep	89.61	78.91	92.90	91.22
128	2026-05-07 03:20	enterprise-context: missing organizations config branch	keep	89.61	79.02	92.90	91.22
129	2026-05-07 03:23	sync-service incrementalSync no-orgs and syncDay userMetrics disabled	KEEP	89.61	79.07	92.90	91.22
130	2026-05-07 03:25	billing-client no-token, multiline CSV, null download_urls branches	KEEP	89.65	79.72	92.90	91.22
131	2026-05-07 03:27	autofix rethrow, recordSync null day, getLatestSyncDay null branches	KEEP	89.68	79.89	92.90	91.26
132	2026-05-07 03:28	dashboard-config isCopilotSubEnabled copilot.enabled=false	KEEP	89.71	79.94	92.90	91.26
133	2026-05-07 03:30	sync-service syncTeams enterprise/org API error handling	KEEP	89.78	79.94	92.90	91.33
134	2026-05-07 03:31	sync-service syncBilling and refreshAllSummaries error paths	KEEP	89.84	79.94	92.90	91.40
135	2026-05-07 03:32	sync-service 28-day fallback enterprise/org error paths	KEEP	89.91	79.94	92.90	91.48
136	2026-05-07 03:40	ghas-sync outdated autofix status and invalid repo_full_name branches	KEEP	89.91	80.00	92.69	91.44
171	2026-05-07T07:58:40.8440630+05:30	test(ghas-repo): null repository and null severity fallbacks	KEEP	90.34	86.55	92.69	91.77
172	2026-05-07T08:00:22.4405396+05:30	test(ghas-repo): null repository in dependabot + secret scanning upserts	KEEP	90.34	86.66	92.69	91.77
173	2026-05-07T08:02:17.4584210+05:30	test(dashboard-config): ?? fallback for copilot sub + billing sub	KEEP	90.34	86.66	92.69	91.77
174	2026-05-07T08:03:47.6974530+05:30	test(metrics-repo): batchUpsert || [] fallback for undefined JSON fields	KEEP	90.34	86.88	92.69	91.77
175	2026-05-07T08:04:44.7609704+05:30	test(metrics-repo): batchUpsert empty records early return	KEEP	90.37	86.93	92.69	91.77
176	2026-05-07T08:06:01.7594728+05:30	test(ghas-aggregation): prevAvg=0 flat + undefined ecosystem_counts	KEEP	90.37	87.04	92.69	91.77
177	2026-05-07T08:10:01.5918843+05:30	test(metrics-client): truthy report no download_links + missing endpoints	KEEP	90.44	87.20	92.69	91.77
178	2026-05-07T08:14:55.3722713+05:30	test(utils): null/NaN guard branches in formatNumber + formatPercent	KEEP	90.50	87.31	92.69	91.77
179	2026-05-07T08:15:52.8779020+05:30	test(utils): null/NaN guards in formatDelta + formatMinutes	KEEP	90.57	87.42	92.69	91.77
180	2026-05-07T08:17:41.3074954+05:30	test(auto-sync): msUntilNextRun next-day scheduling branch	KEEP	90.57	87.42	92.69	91.77
181	2026-05-07T08:20:31.0318240+05:30	test(billing-repo): enterprise slug filter tests for 6 query functions	KEEP	90.83	87.64	92.69	91.77
182	2026-05-07T08:22:32.6202897+05:30	test(billing-repo): enterprise slug paginated/summary/breakdown + sync fallback	KEEP	91.29	88.07	92.69	91.77
183	2026-05-07T08:26:29.3697191+05:30	test(metrics-repo): upsertUserDay undefined JSON + resolveEnterpriseId fallback + weightedMedian null	KEEP	91.29	88.4	92.69	91.77
184	2026-05-07T08:28:22.9308310+05:30	test(ghas-sync): fullGhasSync without enterpriseSlug fallback	KEEP	91.33	88.5	92.9	91.8
185	2026-05-07T08:32:46.9772356+05:30	fix(summary-tables): disambiguate enterprise_slug in team summary JOIN + test	KEEP	91.36	88.61	92.9	91.84
186	2026-05-07T08:34:36.5491992+05:30	test(enterprise-config): empty enterprises (none) + undefined organizations fallback	KEEP	91.36	88.78	92.9	91.84
187	2026-05-07T08:39:16.9245086+05:30	test(sync-service): non-Error throw + 28-day fallback data present	KEEP	91.36	88.78	92.9	91.84
188	2026-05-07T08:41:31.8971772+05:30	test(query-client): cover singleton pattern	KEEP	91.52	88.88	93.1	92.02
